time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
184,0,0,0,0,2,0,R5,fe,0,12,0
185,0,0,0,0,2,0,R5,fe,0,12,0
186,0,0,0,0,2,0,R5,fe,0,12,0
187,0,0,0,0,2,0,R5,fe,0,12,0
188,0,0,0,0,2,0,R5,fe,0,12,0
189,0,0,0,0,2,0,R5,fe,0,12,0
190,0,0,0,0,2,0,R5,fe,0,12,0
191,0,0,0,0,2,0,R5,fe,0,12,0
192,0,0,0,0,2,0,R5,fe,0,12,0
193,0,0,0,0,2,0,R5,fe,0,12,0
194,0,0,0,0,2,0,R5,fe,0,12,0
195,0,0,0,0,2,0,R5,fe,0,12,0
196,0,0,0,0,2,0,R5,fe,0,12,0
197,0,0,0,0,2,0,R5,fe,0,12,0
198,0,0,0,0,2,0,R5,fe,0,12,0
199,0,0,0,0,2,0,R5,fe,0,12,0
200,0,0,0,0,2,0,R5,fe,0,12,0
201,0,0,0,0,2,0,R5,fe,0,12,0
202,0,0,0,0,2,0,R5,fe,0,12,0
203,0,0,0,0,2,0,R5,fe,0,12,0
204,0,0,0,0,2,0,R5,fe,0,12,0
205,0,0,0,0,2,0,R5,fe,0,12,0
206,0,0,0,0,2,0,R5,fe,0,12,0
207,0,0,0,0,2,0,R5,fe,0,12,0
208,0,0,0,0,2,0,R5,fe,0,12,0
209,0,0,0,0,2,0,R5,fe,0,12,0
210,0,0,0,0,2,0,R5,fe,0,12,0
211,0,0,0,0,2,0,R5,fe,0,12,0
212,0,0,0,0,2,0,R5,fe,0,12,0
213,0,0,0,0,2,0,R5,fe,0,12,0
214,0,0,0,0,2,0,R5,fe,0,12,0
215,0,0,0,0,2,0,R5,fe,0,12,0
216,0,0,0,0,2,0,R5,fe,0,12,0
217,0,0,0,0,2,0,R5,fe,0,12,0
218,0,0,0,0,2,0,R5,fe,0,12,0
219,0,0,0,0,2,0,R5,fe,0,12,0
220,0,0,0,0,2,0,R5,fe,0,12,0
221,0,0,0,0,2,0,R5,fe,0,12,0
222,0,0,0,0,2,0,R5,fe,0,12,0
223,0,0,0,0,2,0,R5,fe,0,12,0
224,0,0,0,0,2,0,R5,fe,0,12,0
225,0,0,0,0,2,0,R5,fe,0,12,0
226,0,0,0,2,0,0,R4,fe,0,8,0
227,0,0,0,2,0,0,R4,fe,0,8,0
228,0,0,0,2,0,0,R4,fe,0,8,0
229,0,0,0,2,0,0,R4,fe,0,8,0
230,0,0,0,2,0,0,R4,fe,0,8,0
231,0,0,0,2,0,0,R4,fe,0,8,0
232,0,0,0,2,0,0,R4,fe,0,8,0
233,0,0,0,2,0,0,R4,fe,0,8,0
234,0,0,0,2,0,0,R4,fe,0,8,0
235,0,0,0,2,0,0,R4,fe,0,8,0
236,0,0,0,2,0,0,R4,fe,0,8,0
237,0,0,0,2,0,0,R4,fe,0,8,0
238,0,0,0,2,0,0,R4,fe,0,8,0
239,0,0,0,2,0,0,R4,fe,0,8,0
240,0,0,0,2,0,0,R4,fe,0,8,0
241,0,0,0,2,0,0,R4,fe,0,8,0
242,0,0,0,2,0,0,R4,fe,0,8,0
243,0,0,0,2,0,0,R4,fe,0,8,0
244,0,0,0,2,0,0,R4,fe,0,8,0
245,0,0,0,2,0,0,R4,fe,0,8,0
246,0,0,0,2,0,0,R4,fe,0,8,0
247,0,0,0,2,0,0,R4,fe,0,8,0
248,0,0,0,2,0,0,R4,fe,0,8,0
249,0,0,0,2,0,0,R4,fe,0,8,0
250,0,0,0,2,0,0,R4,fe,0,8,0
251,0,2,0,0,0,0,R2,fe,0,8,0
252,0,2,0,0,0,0,R2,fe,0,8,0
253,0,2,0,0,0,0,R2,fe,0,8,0
254,0,2,0,0,0,0,R2,fe,0,8,0
255,0,2,0,0,0,0,R2,fe,0,8,0
256,0,2,0,0,0,0,R2,fe,0,8,0
257,0,2,0,0,0,0,R2,fe,0,8,0
258,0,2,0,0,0,0,R2,fe,0,8,0
259,0,2,0,0,0,0,R2,fe,0,8,0
260,0,2,0,0,0,0,R2,fe,0,8,0
261,0,2,0,0,0,0,R2,fe,0,8,0
262,0,2,0,0,0,0,R2,fe,0,8,0
263,0,2,0,0,0,0,R2,fe,0,8,0
264,0,2,0,0,0,0,R2,fe,0,8,0
265,0,2,0,0,0,0,R2,fe,0,8,0
266,0,2,0,0,0,0,R2,fe,0,8,0
267,0,2,0,0,0,0,R2,fe,0,8,0
268,0,2,0,0,0,0,R2,fe,0,8,0
269,0,2,0,0,0,0,R2,fe,0,8,0
270,0,2,0,0,0,0,R2,fe,0,8,0
271,0,2,0,0,0,0,R2,fe,0,8,0
272,0,2,0,0,0,0,R2,fe,0,8,0
273,0,2,0,0,0,0,R2,fe,0,8,0
274,0,2,0,0,0,0,R2,fe,0,8,0
275,0,2,0,0,0,0,R2,fe,0,8,0
276,0,2,0,0,0,0,R2,fe,0,8,0
277,0,2,0,0,0,0,R2,fe,0,8,0
278,0,2,0,0,0,0,R2,fe,0,8,0
279,0,2,0,0,0,0,R2,fe,0,8,0
280,0,2,0,0,0,0,R2,fe,0,8,0
281,0,2,0,0,0,0,R2,fe,0,8,0
282,0,2,0,0,0,0,R2,fe,0,8,0
283,0,2,0,0,0,0,R2,fe,0,8,0
284,0,2,0,0,0,0,R2,fe,0,8,0
285,0,2,0,0,0,0,R2,fe,0,8,0
286,0,2,0,0,0,0,R2,fe,0,8,0
287,0,2,0,0,0,0,R2,fe,0,8,0
288,0,2,0,0,0,0,R2,fe,0,8,0
289,0,2,0,0,0,0,R2,fe,0,8,0
290,0,2,0,0,0,0,R2,fe,0,8,0
291,0,2,0,0,0,0,R2,fe,0,8,0
292,0,2,0,0,0,0,R2,fe,0,8,0
293,0,2,0,0,0,0,R2,fe,0,8,0
294,0,2,0,0,0,0,R2,fe,0,8,0
295,0,2,0,0,0,0,R2,fe,0,8,0
296,0,2,0,0,0,0,R2,fe,0,8,0
297,0,2,0,0,0,0,R2,fe,0,8,0
298,0,2,0,0,0,0,R2,fe,0,8,0
299,0,2,0,0,0,0,R2,fe,0,8,0
300,0,2,0,0,0,0,R2,fe,0,8,0
