Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,Delay
173,0,0,0,2,0,0,0,8,0,R4,fe,10
174,0,0,0,2,0,0,0,8,0,R4,fe,10
175,0,0,0,2,0,0,0,8,0,R4,fe,10
176,0,0,0,0,2,0,0,12,0,R5,fe,14
177,0,0,0,0,2,0,0,12,0,R5,fe,14
178,0,0,0,0,2,0,0,12,0,R5,fe,14
179,0,0,0,0,2,0,0,12,0,R5,fe,14
180,0,0,0,0,2,0,0,12,0,R5,fe,14
181,0,0,0,0,2,0,0,12,0,R5,fe,14
182,0,0,0,0,2,0,0,12,0,R5,fe,14
183,0,0,0,0,2,0,0,12,0,R5,fe,14
184,0,0,0,0,2,0,0,12,0,R5,fe,14
185,0,0,0,0,2,0,0,12,0,R5,fe,14
186,0,0,0,0,2,0,0,12,0,R5,fe,14
187,0,0,0,0,2,0,0,12,0,R5,fe,14
188,0,0,0,0,2,0,0,12,0,R5,fe,14
189,0,0,0,0,2,0,0,12,0,R5,fe,14
190,0,0,0,0,2,0,0,12,0,R5,fe,14
191,0,0,0,0,2,0,0,12,0,R5,fe,14
192,0,0,0,0,2,0,0,12,0,R5,fe,14
193,0,0,0,0,2,0,0,12,0,R5,fe,14
194,0,0,0,0,2,0,0,12,0,R5,fe,14
195,0,0,0,0,2,0,0,12,0,R5,fe,14
196,0,0,0,0,2,0,0,12,0,R5,fe,14
197,0,0,0,0,2,0,0,12,0,R5,fe,14
198,0,0,0,0,2,0,0,12,0,R5,fe,14
199,0,0,0,0,2,0,0,12,0,R5,fe,14
200,0,0,0,0,2,0,0,12,0,R5,fe,14
201,0,0,0,0,2,0,0,12,0,R5,fe,14
202,0,0,0,0,2,0,0,12,0,R5,fe,14
203,0,0,0,0,2,0,0,12,0,R5,fe,14
204,0,0,0,0,2,0,0,12,0,R5,fe,14
205,0,0,0,0,2,0,0,12,0,R5,fe,14
206,0,0,0,0,2,0,0,12,0,R5,fe,14
207,0,0,0,0,2,0,0,12,0,R5,fe,14
208,0,0,0,0,2,0,0,12,0,R5,fe,14
209,0,0,0,0,2,0,0,12,0,R5,fe,14
210,0,0,0,0,2,0,0,12,0,R5,fe,14
211,0,0,0,0,2,0,0,12,0,R5,fe,14
212,0,0,0,0,2,0,0,12,0,R5,fe,14
213,0,0,0,0,2,0,0,12,0,R5,fe,14
214,0,0,0,0,2,0,0,12,0,R5,fe,14
215,0,0,0,0,2,0,0,12,0,R5,fe,14
216,0,0,0,0,2,0,0,12,0,R5,fe,14
217,0,0,0,0,2,0,0,12,0,R5,fe,14
218,0,0,0,0,2,0,0,12,0,R5,fe,14
219,0,0,0,0,2,0,0,12,0,R5,fe,14
220,0,0,0,0,2,0,0,12,0,R5,fe,14
221,0,0,0,0,2,0,0,12,0,R5,fe,14
222,0,0,0,0,2,0,0,12,0,R5,fe,14
223,0,0,0,0,2,0,0,12,0,R5,fe,14
224,0,0,0,0,2,0,0,12,0,R5,fe,14
225,0,0,0,0,2,0,0,12,0,R5,fe,14
226,0,0,0,2,0,0,0,8,0,R4,fe,10
227,0,0,0,2,0,0,0,8,0,R4,fe,10
228,0,0,0,2,0,0,0,8,0,R4,fe,10
229,0,0,0,2,0,0,0,8,0,R4,fe,10
230,0,0,0,2,0,0,0,8,0,R4,fe,10
231,0,0,0,2,0,0,0,8,0,R4,fe,10
232,0,0,0,2,0,0,0,8,0,R4,fe,10
233,0,0,0,2,0,0,0,8,0,R4,fe,10
234,0,0,0,2,0,0,0,8,0,R4,fe,10
235,0,0,0,2,0,0,0,8,0,R4,fe,10
236,0,0,0,2,0,0,0,8,0,R4,fe,10
237,0,0,0,2,0,0,0,8,0,R4,fe,10
238,0,0,0,2,0,0,0,8,0,R4,fe,10
239,0,0,0,2,0,0,0,8,0,R4,fe,10
240,0,0,0,2,0,0,0,8,0,R4,fe,10
241,0,0,0,2,0,0,0,8,0,R4,fe,10
