2020-06-25 15:43:04.245 {"radius": 3, "center": [20.39666628885939, -2.178769970911154]}
2020-06-25 15:43:05.182 {"radius": 3, "center": [20.14228985239032, -2.0969294208627174]}
2020-06-25 15:43:06.110 {"radius": 3, "center": [19.892131139722927, -2.0198519303694895]}
2020-06-25 15:43:07.039 {"radius": 3, "center": [19.63215739072053, -1.9859903317512577]}
2020-06-25 15:43:07.975 {"radius": 3, "center": [19.3590284400139, -1.963696316051895]}
2020-06-25 15:43:08.828 {"radius": 3, "center": [19.117995992612205, -1.9481154385284272]}
2020-06-25 15:43:09.680 {"radius": 3, "center": [18.86474749012942, -1.9301943190902042]}
2020-06-25 15:43:10.621 {"radius": 3, "center": [18.603777306808478, -1.914485071673654]}
2020-06-25 15:43:11.592 {"radius": 3, "center": [18.356696843925306, -1.9104517128975496]}
2020-06-25 15:43:12.390 {"radius": 3, "center": [18.08999389938512, -1.9038910104538342]}
2020-06-25 15:43:13.246 {"radius": 3, "center": [17.828630805283066, -1.8942604418045994]}
2020-06-25 15:43:14.172 {"radius": 3, "center": [17.56578972196529, -1.892028329150527]}
2020-06-25 15:43:15.107 {"radius": 3, "center": [17.29338475262139, -1.8826323441616646]}
2020-06-25 15:43:15.966 {"radius": 3, "center": [17.06134271503352, -1.8456235946935446]}
2020-06-25 15:43:16.890 {"radius": 3, "center": [16.814120850869823, -1.767057943403123]}
2020-06-25 15:43:17.912 {"radius": 3, "center": [16.561003607858826, -1.694780492482458]}
2020-06-25 15:43:18.765 {"radius": 3, "center": [16.31151709906892, -1.6696915176183826]}
2020-06-25 15:43:19.569 {"radius": 3, "center": [16.05770929662887, -1.6497041800060863]}
2020-06-25 15:43:20.452 {"radius": 3, "center": [15.796967462487492, -1.604119924213842]}
2020-06-25 15:43:21.410 {"radius": 3, "center": [15.545911342784866, -1.5598087604888156]}
2020-06-25 15:43:22.230 {"radius": 3, "center": [15.295692255908905, -1.522416446041709]}
2020-06-25 15:43:23.018 {"radius": 3, "center": [15.050934543427546, -1.4769481675127945]}
2020-06-25 15:43:23.858 {"radius": 3, "center": [14.802353853841662, -1.4323827881424827]}
2020-06-25 15:43:24.717 {"radius": 3, "center": [14.557843597663064, -1.4048206819224598]}
2020-06-25 15:43:25.575 {"radius": 3, "center": [14.308114239265606, -1.3916651537111093]}
2020-06-25 15:43:26.419 {"radius": 3, "center": [14.059290437850954, -1.3689935491587144]}
