2020-06-25 16:46:49.140 {"radius": 3, "center": [10.897944766766516, -1.0372705222208758]}
2020-06-25 16:46:50.009 {"radius": 3, "center": [10.648559502779118, -0.9839129883435714]}
2020-06-25 16:46:50.915 {"radius": 3, "center": [10.390704810201479, -0.9494584034099113]}
2020-06-25 16:46:51.826 {"radius": 3, "center": [10.12223358362442, -0.9252710986230404]}
2020-06-25 16:46:52.737 {"radius": 3, "center": [9.864815090733302, -0.9247827927241508]}
2020-06-25 16:46:53.649 {"radius": 3, "center": [9.60286301437714, -0.9177707765131036]}
2020-06-25 16:46:54.556 {"radius": 3, "center": [9.341781375857153, -0.9042200976190016]}
2020-06-25 16:46:55.467 {"radius": 3, "center": [9.076584585488346, -0.8986489235495759]}
2020-06-25 16:46:56.375 {"radius": 3, "center": [8.808802147922025, -0.8939715751933807]}
2020-06-25 16:46:57.292 {"radius": 3, "center": [8.534828795441777, -0.899310019158429]}
2020-06-25 16:46:58.199 {"radius": 3, "center": [8.26560353043272, -0.9067483587500866]}
2020-06-25 16:46:59.115 {"radius": 3, "center": [8.010489547366776, -0.9138123166640445]}
2020-06-25 16:47:00.025 {"radius": 3, "center": [7.7414755107796065, -0.9205738010701223]}
2020-06-25 16:47:00.938 {"radius": 3, "center": [7.484438779658462, -0.9208618710317003]}
2020-06-25 16:47:01.851 {"radius": 3, "center": [7.205964663786763, -0.9177744718942706]}
2020-06-25 16:47:02.761 {"radius": 3, "center": [6.949076779198208, -0.8947058913042839]}
2020-06-25 16:47:03.747 {"radius": 3, "center": [6.6833969226884165, -0.8099680892619412]}
2020-06-25 16:47:04.656 {"radius": 3, "center": [6.446944393868315, -0.7454123443199638]}
2020-06-25 16:47:05.571 {"radius": 3, "center": [6.176808476409414, -0.711855108716676]}
2020-06-25 16:47:06.476 {"radius": 3, "center": [5.900595558905801, -0.6941573600121779]}
2020-06-25 16:47:07.438 {"radius": 3, "center": [5.632033354465368, -0.6649773108811384]}
2020-06-25 16:47:08.399 {"radius": 3, "center": [5.3644336967318, -0.6531061581649317]}
2020-06-25 16:47:09.203 {"radius": 3, "center": [5.094990502202842, -0.641644522295756]}
2020-06-25 16:47:10.116 {"radius": 3, "center": [4.845056393867108, -0.6386444383235194]}
2020-06-25 16:47:11.026 {"radius": 3, "center": [4.568294766086655, -0.623815412808576]}
2020-06-25 16:47:11.937 {"radius": 3, "center": [4.29927547617844, -0.5788154135985086]}
2020-06-25 16:47:12.840 {"radius": 3, "center": [4.0264481821504114, -0.5613934487504112]}
2020-06-25 16:47:13.754 {"radius": 3, "center": [3.7425606269354668, -0.5473374154445498]}
2020-06-25 16:47:14.666 {"radius": 3, "center": [3.4797048309739784, -0.530027099933831]}
2020-06-25 16:47:15.577 {"radius": 3, "center": [3.221979938818834, -0.5226380779230523]}
2020-06-25 16:47:16.257 {"radius": 3, "center": [3.033254239254466, -0.5035185128246048]}
2020-06-25 16:47:17.172 {"radius": 3, "center": [2.7674292105887943, -0.42343516234955797]}
2020-06-25 16:47:18.084 {"radius": 3, "center": [2.510221059837393, -0.34211862066511106]}
2020-06-25 16:47:18.993 {"radius": 3, "center": [2.270042140388131, -0.26158041849784136]}
2020-06-25 16:47:19.899 {"radius": 3, "center": [2.0125040953254194, -0.19049407036712762]}
2020-06-25 16:47:20.816 {"radius": 3, "center": [1.7603724934004454, -0.11766719617099694]}
2020-06-25 16:47:21.731 {"radius": 3, "center": [1.4878901843234136, -0.05041122506928157]}
2020-06-25 16:47:22.633 {"radius": 3, "center": [1.2392572403003312, -0.03038490688335717]}
2020-06-25 16:47:23.547 {"radius": 3, "center": [0.9695486609616507, -0.031493986233162116]}
2020-06-25 16:47:24.465 {"radius": 3, "center": [0.7020416058407498, -0.02554308095333742]}
2020-06-25 16:47:25.372 {"radius": 3, "center": [0.417813587791153, -0.010543838607575023]}
2020-06-25 16:47:26.279 {"radius": 3, "center": [0.13000187920199274, -0.00213365327500846]}
2020-06-25 16:47:27.192 {"radius": 3, "center": [-0.13550380688900113, 0.0012621714560194979]}
2020-06-25 16:47:28.107 {"radius": 3, "center": [-0.41533418118485715, 0.004887814557438614]}
2020-06-25 16:47:29.018 {"radius": 3, "center": [-0.6930489658187728, 0.004952992613646457]}
2020-06-25 16:47:29.971 {"radius": 3, "center": [-0.9628183621064987, 0.03090534392937277]}
2020-06-25 16:47:30.927 {"radius": 3, "center": [-1.2241635601087513, 0.10528932722319384]}
