2020-06-25 13:06:12.915 {"radius": 3, "center": [15.60535837094671, -1.438889700121138]}
2020-06-25 13:06:14.426 {"radius": 3, "center": [15.34065080867445, -1.4167129001025767]}
2020-06-25 13:06:15.455 {"radius": 3, "center": [15.092642486826163, -1.4008494583841742]}
2020-06-25 13:06:16.522 {"radius": 3, "center": [14.840231151234244, -1.3839819763905223]}
2020-06-25 13:06:17.570 {"radius": 3, "center": [14.570859955376713, -1.3647813954994459]}
2020-06-25 13:06:18.550 {"radius": 3, "center": [14.319718898206773, -1.3504521463757841]}
2020-06-25 13:06:19.533 {"radius": 3, "center": [14.060581973149178, -1.3362183044321232]}
2020-06-25 13:06:20.507 {"radius": 3, "center": [13.79844211079321, -1.3257189570678687]}
2020-06-25 13:06:21.486 {"radius": 3, "center": [13.54028039224151, -1.2859730956482502]}
2020-06-25 13:06:22.467 {"radius": 3, "center": [13.270456875383324, -1.2312466714749257]}
2020-06-25 13:06:23.445 {"radius": 3, "center": [13.01694940578462, -1.1930294685611862]}
2020-06-25 13:06:24.337 {"radius": 3, "center": [12.75704211842147, -1.1763343254911889]}
2020-06-25 13:06:25.249 {"radius": 3, "center": [12.493228290030855, -1.1492585799611594]}
2020-06-25 13:06:26.150 {"radius": 3, "center": [12.248816628415756, -1.1056901440839535]}
2020-06-25 13:06:27.130 {"radius": 3, "center": [11.982479238784478, -1.043568562819336]}
2020-06-25 13:06:28.024 {"radius": 3, "center": [11.727025477618511, -1.0122906880052238]}
2020-06-25 13:06:28.936 {"radius": 3, "center": [11.479699353049467, -0.94268811435208]}
2020-06-25 13:06:29.846 {"radius": 3, "center": [11.231634133968745, -0.8799267947211435]}
2020-06-25 13:06:30.745 {"radius": 3, "center": [10.983017282001676, -0.8179036753932107]}
2020-06-25 13:06:31.642 {"radius": 3, "center": [10.728037367352456, -0.7625225723765815]}
2020-06-25 13:06:32.547 {"radius": 3, "center": [10.47900942850032, -0.7290272187939927]}
2020-06-25 13:06:33.455 {"radius": 3, "center": [10.221567523823984, -0.7052273738608811]}
2020-06-25 13:06:34.355 {"radius": 3, "center": [9.961948732670091, -0.6605570218718863]}
2020-06-25 13:06:35.263 {"radius": 3, "center": [9.708743170580828, -0.5947285351944777]}
2020-06-25 13:06:36.170 {"radius": 3, "center": [9.455285993474417, -0.5230699287249725]}
2020-06-25 13:06:37.070 {"radius": 3, "center": [9.192501170372173, -0.47062960080395105]}
2020-06-25 13:06:37.974 {"radius": 3, "center": [8.929410192630565, -0.45661183972861585]}
2020-06-25 13:06:38.876 {"radius": 3, "center": [8.675333927411387, -0.4325983686715101]}
2020-06-25 13:06:39.784 {"radius": 3, "center": [8.413331777309875, -0.4108952314728517]}
2020-06-25 13:06:40.691 {"radius": 3, "center": [8.147730310552447, -0.3947394212282523]}
2020-06-25 13:06:41.587 {"radius": 3, "center": [7.899008586923097, -0.38065843518223796]}
2020-06-25 13:06:42.482 {"radius": 3, "center": [7.63521444163447, -0.36473177424293485]}
2020-06-25 13:06:43.394 {"radius": 3, "center": [7.3667099925204615, -0.3351116807583986]}
2020-06-25 13:06:44.299 {"radius": 3, "center": [7.098704490271673, -0.3046659509933443]}
2020-06-25 13:06:45.201 {"radius": 3, "center": [6.832007028614349, -0.2859178095589968]}
2020-06-25 13:06:46.100 {"radius": 3, "center": [6.565452617665654, -0.2556522258488837]}
2020-06-25 13:06:47.008 {"radius": 3, "center": [6.3015891385152205, -0.19481993759682176]}
2020-06-25 13:06:47.909 {"radius": 3, "center": [6.027289696687003, -0.16309268662409848]}
2020-06-25 13:06:48.820 {"radius": 3, "center": [5.756206408741143, -0.14254821228855732]}
2020-06-25 13:06:49.716 {"radius": 3, "center": [5.486526270996524, -0.12304911438145177]}
2020-06-25 13:06:50.624 {"radius": 3, "center": [5.219518136231627, -0.1082344572122084]}
2020-06-25 13:06:51.531 {"radius": 3, "center": [4.96182845856863, -0.0925947972045618]}
2020-06-25 13:06:52.437 {"radius": 3, "center": [4.70277868819894, -0.0820761775270848]}
2020-06-25 13:06:53.329 {"radius": 3, "center": [4.448607717600226, -0.07093778156012001]}
