2020-06-25 16:14:58.044 {"radius": 3, "center": [23.00820713879036, -2.5081456368336554]}
2020-06-25 16:14:58.795 {"radius": 3, "center": [22.80419221088513, -2.43784950069594]}
2020-06-25 16:14:59.708 {"radius": 3, "center": [22.537300059026066, -2.378924435432195]}
2020-06-25 16:15:00.630 {"radius": 3, "center": [22.26386255695339, -2.325891601447397]}
2020-06-25 16:15:01.518 {"radius": 3, "center": [21.99200949299031, -2.3045467381291243]}
2020-06-25 16:15:02.439 {"radius": 3, "center": [21.721995559208175, -2.292340787402787]}
2020-06-25 16:15:03.342 {"radius": 3, "center": [21.440885474044197, -2.289338009365633]}
2020-06-25 16:15:04.243 {"radius": 3, "center": [21.165090054687376, -2.28696088326109]}
2020-06-25 16:15:05.149 {"radius": 3, "center": [20.888203705045306, -2.2761546701851993]}
2020-06-25 16:15:06.058 {"radius": 3, "center": [20.621446196236775, -2.231998450495796]}
2020-06-25 16:15:06.962 {"radius": 3, "center": [20.35366390942203, -2.166411510752007]}
2020-06-25 16:15:07.872 {"radius": 3, "center": [20.099479359575838, -2.0921432730086376]}
2020-06-25 16:15:08.782 {"radius": 3, "center": [19.846119622638973, -2.0145094510282413]}
2020-06-25 16:15:09.682 {"radius": 3, "center": [19.579674932590756, -1.9711292927050552]}
2020-06-25 16:15:10.601 {"radius": 3, "center": [19.317298802836934, -1.9372317431116841]}
2020-06-25 16:15:11.493 {"radius": 3, "center": [19.04143511122104, -1.9145603788552605]}
2020-06-25 16:15:12.399 {"radius": 3, "center": [18.771973321692293, -1.9018405289336455]}
2020-06-25 16:15:13.318 {"radius": 3, "center": [18.499794193210736, -1.897989952906689]}
2020-06-25 16:15:14.219 {"radius": 3, "center": [18.228808772792494, -1.8930755653838462]}
2020-06-25 16:15:15.124 {"radius": 3, "center": [17.96077066390531, -1.8817235503488816]}
2020-06-25 16:15:16.033 {"radius": 3, "center": [17.69187446238223, -1.8749934852902848]}
2020-06-25 16:15:16.946 {"radius": 3, "center": [17.42597850653233, -1.8654269761118722]}
2020-06-25 16:15:17.853 {"radius": 3, "center": [17.163154780199758, -1.8533680734764126]}
2020-06-25 16:15:18.763 {"radius": 3, "center": [16.903373275822283, -1.8352466316610865]}
2020-06-25 16:15:19.656 {"radius": 3, "center": [16.63054920486651, -1.793985512424179]}
2020-06-25 16:15:20.569 {"radius": 3, "center": [16.36523021351541, -1.743214887146972]}
2020-06-25 16:15:21.481 {"radius": 3, "center": [16.094275999396743, -1.7089005387858371]}
2020-06-25 16:15:22.377 {"radius": 3, "center": [15.830198985654993, -1.6697871863264926]}
2020-06-25 16:15:23.292 {"radius": 3, "center": [15.556560785581398, -1.654257669917786]}
2020-06-25 16:15:24.246 {"radius": 3, "center": [15.282460799409266, -1.6328733493035847]}
2020-06-25 16:15:25.144 {"radius": 3, "center": [15.015894195224602, -1.6243163716892868]}
2020-06-25 16:15:26.018 {"radius": 3, "center": [14.751195512610328, -1.606530341571155]}
2020-06-25 16:15:26.907 {"radius": 3, "center": [14.487974882576104, -1.571064033037185]}
2020-06-25 16:15:27.819 {"radius": 3, "center": [14.207227089328073, -1.5246518024037072]}
2020-06-25 16:15:28.730 {"radius": 3, "center": [13.946279062989472, -1.5034091563630816]}
2020-06-25 16:15:29.633 {"radius": 3, "center": [13.67919614166495, -1.4727287348423692]}
2020-06-25 16:15:30.617 {"radius": 3, "center": [13.405245083152408, -1.4172339437281014]}
2020-06-25 16:15:31.516 {"radius": 3, "center": [13.133521691846989, -1.3688355975418622]}
2020-06-25 16:15:32.428 {"radius": 3, "center": [12.88023464542877, -1.2969331109508135]}
2020-06-25 16:15:33.332 {"radius": 3, "center": [12.611650233717446, -1.2512971351314346]}
2020-06-25 16:15:34.249 {"radius": 3, "center": [12.34618274587932, -1.2224879223874827]}
2020-06-25 16:15:35.144 {"radius": 3, "center": [12.073334098162848, -1.1962560556671091]}
2020-06-25 16:15:35.838 {"radius": 3, "center": [11.88283248102192, -1.1614948493757633]}
2020-06-25 16:15:36.738 {"radius": 3, "center": [11.639501082183735, -1.0896499905481163]}
2020-06-25 16:15:37.646 {"radius": 3, "center": [11.38342120632037, -1.037773609615212]}
2020-06-25 16:15:38.547 {"radius": 3, "center": [11.127055987277076, -0.9732698102537359]}
2020-06-25 16:15:39.457 {"radius": 3, "center": [10.870985358362054, -0.9176619471315675]}
2020-06-25 16:15:40.371 {"radius": 3, "center": [10.600984979323638, -0.8551391408487335]}
2020-06-25 16:15:41.273 {"radius": 3, "center": [10.348061888197911, -0.8002947907062475]}
2020-06-25 16:15:42.184 {"radius": 3, "center": [10.077516553495304, -0.7591268536274876]}
2020-06-25 16:15:43.089 {"radius": 3, "center": [9.804219636628401, -0.7267745490467158]}
2020-06-25 16:15:43.992 {"radius": 3, "center": [9.545472411503674, -0.7111951285735859]}
2020-06-25 16:15:44.905 {"radius": 3, "center": [9.288121098667846, -0.671056528315251]}
2020-06-25 16:15:45.804 {"radius": 3, "center": [9.024521032509906, -0.6167423947111704]}
2020-06-25 16:15:46.723 {"radius": 3, "center": [8.754562068850472, -0.5641200520273028]}
2020-06-25 16:15:47.628 {"radius": 3, "center": [8.490025836649576, -0.5085301418216683]}
2020-06-25 16:15:48.528 {"radius": 3, "center": [8.215453150932841, -0.44443410463041194]}
2020-06-25 16:15:49.428 {"radius": 3, "center": [7.954925979690447, -0.3874363933085516]}
2020-06-25 16:15:50.348 {"radius": 3, "center": [7.687695222072291, -0.36299150514697454]}
2020-06-25 16:15:51.266 {"radius": 3, "center": [7.418077611486479, -0.3459334855095442]}
2020-06-25 16:15:52.154 {"radius": 3, "center": [7.153578338052833, -0.3521905435642142]}
2020-06-25 16:15:53.052 {"radius": 3, "center": [6.892344477467424, -0.3508858638373257]}
2020-06-25 16:15:53.970 {"radius": 3, "center": [6.628243543986654, -0.3372386246716507]}
2020-06-25 16:15:54.913 {"radius": 3, "center": [6.369675729267498, -0.3016470578667427]}
2020-06-25 16:15:55.867 {"radius": 3, "center": [6.112594741061235, -0.2584216911049989]}
2020-06-25 16:15:56.676 {"radius": 3, "center": [5.8419774759783545, -0.19632527893233087]}
2020-06-25 16:15:57.596 {"radius": 3, "center": [5.581982609102279, -0.13032922520516158]}
2020-06-25 16:15:58.499 {"radius": 3, "center": [5.322217690451353, -0.06978074284066163]}
2020-06-25 16:15:59.400 {"radius": 3, "center": [5.063260255616056, -0.028872558891647682]}
2020-06-25 16:16:00.308 {"radius": 3, "center": [4.792738222431682, -0.003604616374659679]}
2020-06-25 16:16:01.219 {"radius": 3, "center": [4.527209862593612, 0.01381019083564857]}
2020-06-25 16:16:02.148 {"radius": 3, "center": [4.272009488906315, 0.025598600661362433]}
2020-06-25 16:16:03.034 {"radius": 3, "center": [3.9980872254648667, 0.030070302968687443]}
2020-06-25 16:16:03.939 {"radius": 3, "center": [3.727438875434506, 0.04177983623413428]}
2020-06-25 16:16:04.851 {"radius": 3, "center": [3.446477016766488, 0.05185680364700568]}
2020-06-25 16:16:05.761 {"radius": 3, "center": [3.177362610317893, 0.06421973242091811]}
2020-06-25 16:16:06.665 {"radius": 3, "center": [2.902193614302846, 0.06900367305216118]}
2020-06-25 16:16:07.491 {"radius": 3, "center": [2.638721380276368, 0.08083677356089007]}
2020-06-25 16:16:08.401 {"radius": 3, "center": [2.370701831211591, 0.0903133698324011]}
2020-06-25 16:16:09.317 {"radius": 3, "center": [2.102439747041765, 0.11109115802477704]}
2020-06-25 16:16:10.229 {"radius": 3, "center": [1.8415908144759972, 0.1175201306397224]}
2020-06-25 16:16:11.123 {"radius": 3, "center": [1.5701427018532215, 0.1276113649856304]}
2020-06-25 16:16:12.032 {"radius": 3, "center": [1.2939989634076638, 0.131496339949752]}
2020-06-25 16:16:12.950 {"radius": 3, "center": [1.0212448222627075, 0.13995241251365556]}
2020-06-25 16:16:13.850 {"radius": 3, "center": [0.7581299852997619, 0.14870856200992774]}
2020-06-25 16:16:14.748 {"radius": 3, "center": [0.49664175171681907, 0.15743302428189643]}
2020-06-25 16:16:15.673 {"radius": 3, "center": [0.23663220612698302, 0.15928068377450988]}
2020-06-25 16:16:16.570 {"radius": 3, "center": [-0.029709017518614777, 0.1601835332597077]}
2020-06-25 16:16:17.481 {"radius": 3, "center": [-0.28528273006710675, 0.1612501794498468]}
2020-06-25 16:16:18.380 {"radius": 3, "center": [-0.5570240407608051, 0.16219405431677822]}
2020-06-25 16:16:19.290 {"radius": 3, "center": [-0.822073753288467, 0.16889008236073572]}
2020-06-25 16:16:20.194 {"radius": 3, "center": [-1.0930702721393264, 0.186249981496828]}
2020-06-25 16:16:21.105 {"radius": 3, "center": [-1.3545415580715077, 0.2058850079076418]}
2020-06-25 16:16:22.009 {"radius": 3, "center": [-1.612594080308627, 0.24571986079393024]}
2020-06-25 16:16:22.993 {"radius": 3, "center": [-1.86396841801446, 0.2953850671493695]}
2020-06-25 16:16:23.675 {"radius": 3, "center": [-2.004134119542432, 0.34972259495440466]}
2020-06-25 16:16:25.563 {"radius": 3, "center": [-2.1309357776110325, 0.4167847493930003]}
2020-06-25 16:16:26.092 {"radius": 3, "center": [-2.1355262410537716, 0.40405537063872277]}
2020-06-25 16:16:26.618 {"radius": 3, "center": [-2.1373293159065345, 0.3929552172089429]}
2020-06-25 16:16:27.452 {"radius": 3, "center": [-2.136130037033449, 0.3796575736379976]}
