time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency,Delay
152,0,0,0,0,2,0,R5,cs,0,0,27,29
153,0,0,0,0,2,0,R5,cs,0,0,27,29
154,0,0,0,0,2,0,R5,cs,0,0,27,29
155,0,0,0,0,2,0,R5,cs,0,0,27,29
156,0,0,0,0,2,0,R5,cs,0,0,27,29
157,0,0,0,0,2,0,R5,cs,0,0,27,29
158,0,0,0,0,2,0,R5,cs,0,0,27,29
159,0,0,0,0,2,0,R5,cs,0,0,27,29
160,0,0,0,0,2,0,R5,cs,0,0,27,29
161,0,0,0,0,2,0,R5,cs,0,0,27,29
162,0,0,0,0,2,0,R5,cs,0,0,27,29
163,0,0,0,0,2,0,R5,cs,0,0,27,29
164,0,0,0,0,2,0,R5,cs,0,0,27,29
165,0,0,0,0,2,0,R5,cs,0,0,27,29
166,0,0,0,0,2,0,R5,cs,0,0,27,29
167,0,0,0,0,2,0,R5,cs,0,0,27,29
168,0,0,0,0,2,0,R5,cs,0,0,27,29
169,0,0,0,0,2,0,R5,cs,0,0,27,29
170,0,0,0,0,2,0,R5,cs,0,0,27,29
171,0,0,0,0,2,0,R5,cs,0,0,27,29
172,0,0,0,0,2,0,R5,cs,0,0,27,29
173,0,0,0,0,2,0,R5,cs,0,0,27,29
174,0,0,0,0,2,0,R5,cs,0,0,27,29
175,0,0,0,0,2,0,R5,cs,0,0,27,29
176,0,0,0,0,0,2,R6,cs,0,0,27,29
177,0,0,0,0,0,2,R6,cs,0,0,27,29
178,0,0,0,0,0,2,R6,cs,0,0,27,29
179,0,0,0,0,0,2,R6,cs,0,0,27,29
180,0,0,0,0,0,2,R6,cs,0,0,27,29
181,0,0,0,0,0,2,R6,cs,0,0,27,29
182,0,0,0,0,0,2,R6,cs,0,0,27,29
183,0,0,0,0,0,2,R6,cs,0,0,27,29
184,0,0,0,0,0,2,R6,cs,0,0,27,29
185,0,0,0,0,0,2,R6,cs,0,0,27,29
186,0,0,0,0,0,2,R6,cs,0,0,27,29
187,0,0,0,0,0,2,R6,cs,0,0,27,29
188,0,0,0,0,0,2,R6,cs,0,0,27,29
189,0,0,0,0,0,2,R6,cs,0,0,27,29
190,0,0,0,0,0,2,R6,cs,0,0,27,29
191,0,0,0,0,0,2,R6,cs,0,0,27,29
192,0,0,0,0,0,2,R6,cs,0,0,27,29
193,0,0,0,0,0,2,R6,cs,0,0,27,29
194,0,0,0,0,0,2,R6,cs,0,0,27,29
195,0,0,0,0,0,2,R6,cs,0,0,27,29
196,0,0,0,0,0,2,R6,cs,0,0,27,29
197,0,0,0,0,0,2,R6,cs,0,0,27,29
198,0,0,0,0,0,2,R6,cs,0,0,27,29
199,0,0,0,0,0,2,R6,cs,0,0,27,29
200,0,0,0,0,0,2,R6,cs,0,0,27,29
201,0,0,0,0,0,2,R6,cs,0,0,27,29
202,0,0,0,0,0,2,R6,cs,0,0,27,29
203,0,0,0,0,0,2,R6,cs,0,0,27,29
204,0,0,0,0,0,2,R6,cs,0,0,27,29
205,0,0,0,0,0,2,R6,cs,0,0,27,29
206,0,0,0,0,0,2,R6,cs,0,0,27,29
207,0,0,0,0,0,2,R6,cs,0,0,27,29
208,0,0,0,0,0,2,R6,cs,0,0,27,29
209,0,0,0,0,0,2,R6,cs,0,0,27,29
210,0,0,0,0,0,2,R6,cs,0,0,27,29
211,0,0,0,0,0,2,R6,cs,0,0,27,29
212,0,0,0,0,0,2,R6,cs,0,0,27,29
213,0,0,0,0,0,2,R6,cs,0,0,27,29
214,0,0,0,0,0,2,R6,cs,0,0,27,29
215,0,0,0,0,0,2,R6,cs,0,0,27,29
216,0,0,0,0,0,2,R6,cs,0,0,27,29
217,0,0,0,0,0,2,R6,cs,0,0,27,29
218,0,0,0,0,0,2,R6,cs,0,0,27,29
219,0,0,0,0,0,2,R6,cs,0,0,27,29
220,0,0,0,0,0,2,R6,cs,0,0,27,29
221,0,0,0,0,0,2,R6,cs,0,0,27,29
222,0,0,0,0,0,2,R6,cs,0,0,27,29
223,0,0,0,0,0,2,R6,cs,0,0,27,29
224,0,0,0,0,0,2,R6,cs,0,0,27,29
225,0,0,0,0,0,2,R6,cs,0,0,27,29
226,0,0,0,0,2,0,R5,cs,0,0,27,29
227,0,0,0,0,2,0,R5,cs,0,0,27,29
228,0,0,0,0,2,0,R5,cs,0,0,27,29
229,0,0,0,0,2,0,R5,cs,0,0,27,29
230,0,0,0,0,2,0,R5,cs,0,0,27,29
231,0,0,0,0,2,0,R5,cs,0,0,27,29
232,0,0,0,0,2,0,R5,cs,0,0,27,29
233,0,0,0,0,2,0,R5,cs,0,0,27,29
234,0,0,0,0,2,0,R5,cs,0,0,27,29
235,0,0,0,0,2,0,R5,cs,0,0,27,29
236,0,0,0,0,2,0,R5,cs,0,0,27,29
237,0,0,0,0,2,0,R5,cs,0,0,27,29
238,0,0,0,0,2,0,R5,cs,0,0,27,29
239,0,0,0,0,2,0,R5,cs,0,0,27,29
240,0,0,0,0,2,0,R5,cs,0,0,27,29
241,0,0,0,0,2,0,R5,cs,0,0,27,29
242,0,0,0,0,2,0,R5,cs,0,0,27,29
243,0,0,0,0,2,0,R5,cs,0,0,27,29
244,0,0,0,0,2,0,R5,cs,0,0,27,29
245,0,0,0,0,2,0,R5,cs,0,0,27,29
246,0,0,0,0,2,0,R5,cs,0,0,27,29
247,0,0,0,0,2,0,R5,cs,0,0,27,29
248,0,0,0,0,2,0,R5,cs,0,0,27,29
249,0,0,0,0,2,0,R5,cs,0,0,27,29
250,0,0,0,0,2,0,R5,cs,0,0,27,29
251,0,0,0,2,0,0,R4,cs,0,0,18,20
252,0,0,0,2,0,0,R4,cs,0,0,18,20
253,0,0,0,2,0,0,R4,cs,0,0,18,20
254,0,0,0,2,0,0,R4,cs,0,0,18,20
255,0,0,0,2,0,0,R4,cs,0,0,18,20
256,0,0,0,2,0,0,R4,cs,0,0,18,20
257,0,0,0,2,0,0,R4,cs,0,0,18,20
258,0,0,0,2,0,0,R4,cs,0,0,18,20
259,0,0,0,2,0,0,R4,cs,0,0,18,20
260,0,0,0,2,0,0,R4,cs,0,0,18,20
261,0,0,0,2,0,0,R4,cs,0,0,18,20
262,0,0,0,2,0,0,R4,cs,0,0,18,20
263,0,0,0,2,0,0,R4,cs,0,0,18,20
264,0,0,0,2,0,0,R4,cs,0,0,18,20
265,0,0,0,2,0,0,R4,cs,0,0,18,20
266,0,0,0,2,0,0,R4,cs,0,0,18,20
267,0,0,0,2,0,0,R4,cs,0,0,18,20
268,0,0,0,2,0,0,R4,cs,0,0,18,20
269,0,0,0,2,0,0,R4,cs,0,0,18,20
270,0,0,0,2,0,0,R4,cs,0,0,18,20
271,0,0,0,2,0,0,R4,cs,0,0,18,20
272,0,0,0,2,0,0,R4,cs,0,0,18,20
273,0,0,0,2,0,0,R4,cs,0,0,18,20
274,0,0,0,2,0,0,R4,cs,0,0,18,20
275,0,0,0,2,0,0,R4,cs,0,0,18,20
276,0,0,0,2,0,0,R4,cs,0,0,18,20
277,0,0,0,2,0,0,R4,cs,0,0,18,20
278,0,0,0,2,0,0,R4,cs,0,0,18,20
279,0,0,0,2,0,0,R4,cs,0,0,18,20
280,0,0,0,2,0,0,R4,cs,0,0,18,20
281,0,0,0,2,0,0,R4,cs,0,0,18,20
282,0,0,0,2,0,0,R4,cs,0,0,18,20
283,0,0,0,2,0,0,R4,cs,0,0,18,20
284,0,0,0,2,0,0,R4,cs,0,0,18,20
285,0,0,0,2,0,0,R4,cs,0,0,18,20
286,0,0,0,2,0,0,R4,cs,0,0,18,20
287,0,0,0,2,0,0,R4,cs,0,0,18,20
288,0,0,0,2,0,0,R4,cs,0,0,18,20
289,0,0,0,2,0,0,R4,cs,0,0,18,20
290,0,0,0,2,0,0,R4,cs,0,0,18,20
291,0,0,0,2,0,0,R4,cs,0,0,18,20
292,0,0,0,2,0,0,R4,cs,0,0,18,20
293,0,0,0,2,0,0,R4,cs,0,0,18,20
294,0,0,0,2,0,0,R4,cs,0,0,18,20
295,0,0,0,2,0,0,R4,cs,0,0,18,20
296,0,0,0,2,0,0,R4,cs,0,0,18,20
297,0,0,0,2,0,0,R4,cs,0,0,18,20
298,0,0,0,2,0,0,R4,cs,0,0,18,20
299,0,0,0,2,0,0,R4,cs,0,0,18,20
300,0,0,0,2,0,0,R4,cs,0,0,18,20
301,0,0,2,0,0,0,R3,cs,0,0,9,11
302,0,0,2,0,0,0,R3,cs,0,0,9,11
303,0,0,2,0,0,0,R3,cs,0,0,9,11
304,0,0,2,0,0,0,R3,cs,0,0,9,11
305,0,0,2,0,0,0,R3,cs,0,0,9,11
306,0,0,2,0,0,0,R3,cs,0,0,9,11
307,0,0,2,0,0,0,R3,cs,0,0,9,11
308,0,0,2,0,0,0,R3,cs,0,0,9,11
309,0,0,2,0,0,0,R3,cs,0,0,9,11
310,0,0,2,0,0,0,R3,cs,0,0,9,11
311,0,0,2,0,0,0,R3,cs,0,0,9,11
312,0,0,2,0,0,0,R3,cs,0,0,9,11
313,0,0,2,0,0,0,R3,cs,0,0,9,11
314,0,0,2,0,0,0,R3,cs,0,0,9,11
315,0,0,2,0,0,0,R3,cs,0,0,9,11
316,0,0,2,0,0,0,R3,cs,0,0,9,11
317,0,0,2,0,0,0,R3,cs,0,0,9,11
318,0,0,2,0,0,0,R3,cs,0,0,9,11
319,0,0,2,0,0,0,R3,cs,0,0,9,11
320,0,0,2,0,0,0,R3,cs,0,0,9,11
321,0,0,2,0,0,0,R3,cs,0,0,9,11
322,0,0,2,0,0,0,R3,cs,0,0,9,11
323,0,0,2,0,0,0,R3,cs,0,0,9,11
324,0,0,2,0,0,0,R3,cs,0,0,9,11
325,0,0,2,0,0,0,R3,cs,0,0,9,11
326,0,0,2,0,0,0,R3,cs,0,0,9,11
327,0,0,2,0,0,0,R3,cs,0,0,9,11
328,0,0,2,0,0,0,R3,cs,0,0,9,11
329,0,0,2,0,0,0,R3,cs,0,0,9,11
330,0,0,2,0,0,0,R3,cs,0,0,9,11
331,0,0,2,0,0,0,R3,cs,0,0,9,11
332,0,0,2,0,0,0,R3,cs,0,0,9,11
333,0,0,2,0,0,0,R3,cs,0,0,9,11
334,0,0,2,0,0,0,R3,cs,0,0,9,11
335,0,0,2,0,0,0,R3,cs,0,0,9,11
336,0,0,2,0,0,0,R3,cs,0,0,9,11
337,0,0,2,0,0,0,R3,cs,0,0,9,11
338,0,0,2,0,0,0,R3,cs,0,0,9,11
339,0,0,2,0,0,0,R3,cs,0,0,9,11
340,0,0,2,0,0,0,R3,cs,0,0,9,11
341,0,0,2,0,0,0,R3,cs,0,0,9,11
342,0,0,2,0,0,0,R3,cs,0,0,9,11
343,0,0,2,0,0,0,R3,cs,0,0,9,11
344,0,0,2,0,0,0,R3,cs,0,0,9,11
345,0,0,2,0,0,0,R3,cs,0,0,9,11
346,0,0,2,0,0,0,R3,cs,0,0,9,11
347,0,0,2,0,0,0,R3,cs,0,0,9,11
348,0,0,2,0,0,0,R3,cs,0,0,9,11
349,0,0,2,0,0,0,R3,cs,0,0,9,11
350,0,0,2,0,0,0,R3,cs,0,0,9,11
351,0,0,2,0,0,0,R3,cs,0,0,9,11
352,0,0,2,0,0,0,R3,cs,0,0,9,11
353,0,0,2,0,0,0,R3,cs,0,0,9,11
354,0,0,2,0,0,0,R3,cs,0,0,9,11
355,0,0,2,0,0,0,R3,cs,0,0,9,11
356,0,0,2,0,0,0,R3,cs,0,0,9,11
357,0,0,2,0,0,0,R3,cs,0,0,9,11
358,0,0,2,0,0,0,R3,cs,0,0,9,11
359,0,0,2,0,0,0,R3,cs,0,0,9,11
