Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,SNR
216,0,0,0,0,2,0,0,12,0,R5,fe,26.53
217,0,0,0,0,2,0,0,12,0,R5,fe,26.53
218,0,0,0,0,2,0,0,12,0,R5,fe,26.53
219,0,0,0,0,2,0,0,12,0,R5,fe,26.53
220,0,0,0,0,2,0,0,12,0,R5,fe,26.53
221,0,0,0,0,2,0,0,12,0,R5,fe,26.53
222,0,0,0,0,2,0,0,12,0,R5,fe,26.53
223,0,0,0,0,2,0,0,12,0,R5,fe,26.53
224,0,0,0,0,2,0,0,12,0,R5,fe,26.53
225,0,0,0,0,2,0,0,12,0,R5,fe,26.53
226,0,0,0,2,0,0,0,8,0,R4,fe,26.02
227,0,0,0,2,0,0,0,8,0,R4,fe,26.02
228,0,0,0,2,0,0,0,8,0,R4,fe,26.02
229,0,0,0,2,0,0,0,8,0,R4,fe,26.02
230,0,0,0,2,0,0,0,8,0,R4,fe,26.02
231,0,0,0,2,0,0,0,8,0,R4,fe,26.02
232,0,0,0,2,0,0,0,8,0,R4,fe,26.02
233,0,0,0,2,0,0,0,8,0,R4,fe,26.02
234,0,0,0,2,0,0,0,8,0,R4,fe,26.02
235,0,0,0,2,0,0,0,8,0,R4,fe,26.02
236,0,0,0,2,0,0,0,8,0,R4,fe,26.02
237,0,0,0,2,0,0,0,8,0,R4,fe,26.02
238,0,0,0,2,0,0,0,8,0,R4,fe,26.02
239,0,0,0,2,0,0,0,8,0,R4,fe,26.02
240,0,0,0,2,0,0,0,8,0,R4,fe,26.02
241,0,0,0,2,0,0,0,8,0,R4,fe,26.02
242,0,0,0,2,0,0,0,8,0,R4,fe,26.02
243,0,0,0,2,0,0,0,8,0,R4,fe,26.02
244,0,0,0,2,0,0,0,8,0,R4,fe,26.02
245,0,0,0,2,0,0,0,8,0,R4,fe,26.02
246,0,0,0,2,0,0,0,8,0,R4,fe,26.02
247,0,0,0,2,0,0,0,8,0,R4,fe,26.02
248,0,0,0,2,0,0,0,8,0,R4,fe,26.02
249,0,0,0,2,0,0,0,8,0,R4,fe,26.02
250,0,0,0,2,0,0,0,8,0,R4,fe,26.02
251,0,2,0,0,0,0,0,8,0,R2,fe,26.02
252,0,2,0,0,0,0,0,8,0,R2,fe,26.02
253,0,2,0,0,0,0,0,8,0,R2,fe,26.02
254,0,2,0,0,0,0,0,8,0,R2,fe,26.02
255,0,2,0,0,0,0,0,8,0,R2,fe,26.02
256,0,2,0,0,0,0,0,8,0,R2,fe,26.02
257,0,2,0,0,0,0,0,8,0,R2,fe,26.02
258,0,2,0,0,0,0,0,8,0,R2,fe,26.02
259,0,2,0,0,0,0,0,8,0,R2,fe,26.02
260,0,2,0,0,0,0,0,8,0,R2,fe,26.02
261,0,2,0,0,0,0,0,8,0,R2,fe,26.02
262,0,2,0,0,0,0,0,8,0,R2,fe,26.02
263,0,2,0,0,0,0,0,8,0,R2,fe,26.02
264,0,2,0,0,0,0,0,8,0,R2,fe,26.02
265,0,2,0,0,0,0,0,8,0,R2,fe,26.02
266,0,2,0,0,0,0,0,8,0,R2,fe,26.02
267,0,2,0,0,0,0,0,8,0,R2,fe,26.02
268,0,2,0,0,0,0,0,8,0,R2,fe,26.02
269,0,2,0,0,0,0,0,8,0,R2,fe,26.02
270,0,2,0,0,0,0,0,8,0,R2,fe,26.02
271,0,2,0,0,0,0,0,8,0,R2,fe,26.02
272,0,2,0,0,0,0,0,8,0,R2,fe,26.02
273,0,2,0,0,0,0,0,8,0,R2,fe,26.02
