2020-06-25 13:46:02.899 {"radius": 3, "center": [2.0544411583220015, 0.0063748572132697225]}
2020-06-25 13:46:03.797 {"radius": 3, "center": [1.7911525772729842, 0.022469085315724932]}
2020-06-25 13:46:04.709 {"radius": 3, "center": [1.5174826068822507, 0.0404587491755765]}
2020-06-25 13:46:05.607 {"radius": 3, "center": [1.2517356324821538, 0.05541306556590176]}
2020-06-25 13:46:06.536 {"radius": 3, "center": [0.9856757414489966, 0.07111451773642079]}
2020-06-25 13:46:07.407 {"radius": 3, "center": [0.7153016185962721, 0.0820907591142839]}
2020-06-25 13:46:08.318 {"radius": 3, "center": [0.44311178345782415, 0.09425934897147697]}
2020-06-25 13:46:09.213 {"radius": 3, "center": [0.17466274517487304, 0.10629810384777832]}
2020-06-25 13:46:10.121 {"radius": 3, "center": [-0.09736013166296585, 0.12062051629386938]}
2020-06-25 13:46:11.014 {"radius": 3, "center": [-0.3603277449709443, 0.13364635503247155]}
2020-06-25 13:46:11.924 {"radius": 3, "center": [-0.6284833395531109, 0.15783945647851413]}
2020-06-25 13:46:12.828 {"radius": 3, "center": [-0.8970779245750903, 0.18090574806468415]}
2020-06-25 13:46:13.725 {"radius": 3, "center": [-1.1633858692186285, 0.19245393979666223]}
2020-06-25 13:46:14.623 {"radius": 3, "center": [-1.4319664140129589, 0.2129266510849885]}
2020-06-25 13:46:15.536 {"radius": 3, "center": [-1.6812845724458245, 0.2668267874959301]}
2020-06-25 13:46:16.740 {"radius": 3, "center": [-1.9325036924263534, 0.3626207703696704]}
2020-06-25 13:46:18.019 {"radius": 3, "center": [-2.1091065477447493, 0.46170332424318566]}
2020-06-25 13:46:18.398 {"radius": 3, "center": [-2.125812750090507, 0.4636044460926121]}
2020-06-25 13:46:18.701 {"radius": 3, "center": [-2.1211731678930197, 0.4650928645144045]}
2020-06-25 13:46:19.074 {"radius": 3, "center": [-2.128816361584927, 0.4674475609734073]}
2020-06-25 13:46:50.312 {"radius": 3, "center": [-2.134964988233375, 0.43619620668126863]}
2020-06-25 13:46:50.988 {"radius": 3, "center": [-2.137956702086079, 0.4379171020466107]}
2020-06-25 13:46:51.436 {"radius": 3, "center": [-2.1394073430808223, 0.4333773851481934]}
2020-06-25 13:46:51.812 {"radius": 3, "center": [-2.1430217769109223, 0.4317334870025086]}
2020-06-25 13:46:52.117 {"radius": 3, "center": [-2.1395166356589566, 0.4268098780793131]}
2020-06-25 13:46:52.345 {"radius": 3, "center": [-2.125801251052966, 0.4346190924569295]}
2020-06-25 13:46:52.642 {"radius": 3, "center": [-2.093199091500747, 0.44494848897677436]}
2020-06-25 13:46:52.940 {"radius": 3, "center": [-2.0213166006080705, 0.45580706003975147]}
2020-06-25 13:46:53.996 {"radius": 3, "center": [-1.7586977042483725, 0.43453843135667836]}
2020-06-25 13:46:54.971 {"radius": 3, "center": [-1.511031295245793, 0.4093443821971811]}
2020-06-25 13:46:55.950 {"radius": 3, "center": [-1.258147686877894, 0.38907880043147647]}
2020-06-25 13:46:56.930 {"radius": 3, "center": [-1.0006025051971497, 0.36630085255109907]}
2020-06-25 13:46:57.894 {"radius": 3, "center": [-0.742843918804783, 0.34342280885994025]}
2020-06-25 13:46:58.885 {"radius": 3, "center": [-0.4776968215413275, 0.3207011720686863]}
2020-06-25 13:46:59.788 {"radius": 3, "center": [-0.22677959396915134, 0.3044097121972584]}
2020-06-25 13:47:00.682 {"radius": 3, "center": [0.023485256679106725, 0.29691288872210075]}
2020-06-25 13:47:01.582 {"radius": 3, "center": [0.28601375954817804, 0.2899993059248762]}
2020-06-25 13:47:02.502 {"radius": 3, "center": [0.54837548450963, 0.27945968188420656]}
2020-06-25 13:47:03.397 {"radius": 3, "center": [0.8062482700140855, 0.2678483204632442]}
2020-06-25 13:47:04.305 {"radius": 3, "center": [1.0629637184922671, 0.24997294957023508]}
2020-06-25 13:47:05.199 {"radius": 3, "center": [1.320408560557551, 0.2327388772488365]}
2020-06-25 13:47:06.104 {"radius": 3, "center": [1.5821974127605873, 0.2150467342340482]}
2020-06-25 13:47:07.009 {"radius": 3, "center": [1.8450114041889063, 0.1935849091827225]}
2020-06-25 13:47:07.908 {"radius": 3, "center": [2.117748857142647, 0.1794420480036561]}
2020-06-25 13:47:08.801 {"radius": 3, "center": [2.3769620534028943, 0.1596779570424268]}
2020-06-25 13:47:09.709 {"radius": 3, "center": [2.6452727886425964, 0.14401492779358543]}
2020-06-25 13:47:10.612 {"radius": 3, "center": [2.903854601939449, 0.12500727821422966]}
2020-06-25 13:47:11.513 {"radius": 3, "center": [3.164012058973136, 0.11368400749594738]}
2020-06-25 13:47:12.407 {"radius": 3, "center": [3.4288471456706233, 0.09735264659798804]}
2020-06-25 13:47:13.318 {"radius": 3, "center": [3.7019832472218828, 0.08231915659794606]}
2020-06-25 13:47:14.221 {"radius": 3, "center": [3.9668816424498092, 0.07337743476077192]}
2020-06-25 13:47:15.125 {"radius": 3, "center": [4.245751169310646, 0.06337091079555417]}
2020-06-25 13:47:16.015 {"radius": 3, "center": [4.522780905198494, 0.04405871513988458]}
2020-06-25 13:47:16.924 {"radius": 3, "center": [4.802026946996707, 0.021547641696792495]}
2020-06-25 13:47:17.832 {"radius": 3, "center": [5.066465755532778, 0.00493724938228952]}
2020-06-25 13:47:18.735 {"radius": 3, "center": [5.323813925733687, -0.006069415103111768]}
2020-06-25 13:47:19.621 {"radius": 3, "center": [5.594589544856291, -0.020008401169559174]}
2020-06-25 13:47:20.534 {"radius": 3, "center": [5.857849520542176, -0.038795461609867056]}
2020-06-25 13:47:21.430 {"radius": 3, "center": [6.116967671482042, -0.06235811301756994]}
2020-06-25 13:47:22.329 {"radius": 3, "center": [6.382787989302667, -0.07833549341329642]}
2020-06-25 13:47:23.230 {"radius": 3, "center": [6.643086759608483, -0.0865386303576211]}
2020-06-25 13:47:24.223 {"radius": 3, "center": [6.910337957611998, -0.09914934636466856]}
2020-06-25 13:47:25.043 {"radius": 3, "center": [7.168584787567066, -0.1141678668297446]}
2020-06-25 13:47:25.939 {"radius": 3, "center": [7.431296234882413, -0.1261632454218936]}
2020-06-25 13:47:26.888 {"radius": 3, "center": [7.695258603236249, -0.1430514275196432]}
2020-06-25 13:47:27.741 {"radius": 3, "center": [7.949564836889396, -0.17034405779026077]}
2020-06-25 13:47:28.731 {"radius": 3, "center": [8.205470037614713, -0.19703450427429225]}
2020-06-25 13:47:29.656 {"radius": 3, "center": [8.473470597422804, -0.21710565990777178]}
2020-06-25 13:47:30.441 {"radius": 3, "center": [8.731266435649301, -0.23438932291838002]}
2020-06-25 13:47:31.342 {"radius": 3, "center": [9.000080737809494, -0.25485967606104054]}
2020-06-25 13:47:32.246 {"radius": 3, "center": [9.253142541763848, -0.2800719321773147]}
2020-06-25 13:47:33.147 {"radius": 3, "center": [9.517028522750579, -0.3103456215872859]}
2020-06-25 13:47:34.037 {"radius": 3, "center": [9.774911976938514, -0.3399124496916282]}
2020-06-25 13:47:34.949 {"radius": 3, "center": [10.04237029064993, -0.3791420139922632]}
2020-06-25 13:47:35.854 {"radius": 3, "center": [10.306242965720148, -0.421515290752562]}
2020-06-25 13:47:36.748 {"radius": 3, "center": [10.575524991376446, -0.46125508276850374]}
2020-06-25 13:47:37.647 {"radius": 3, "center": [10.835538330355174, -0.5010519628538048]}
2020-06-25 13:47:38.557 {"radius": 3, "center": [11.093303752455313, -0.5616302175139354]}
2020-06-25 13:47:39.453 {"radius": 3, "center": [11.351289510818084, -0.6367825072621465]}
2020-06-25 13:47:40.359 {"radius": 3, "center": [11.590650855303764, -0.7210702738731816]}
2020-06-25 13:47:41.326 {"radius": 3, "center": [11.854519024688189, -0.8224256332049946]}
2020-06-25 13:47:42.235 {"radius": 3, "center": [12.108439843275681, -0.9079416049961666]}
2020-06-25 13:47:43.143 {"radius": 3, "center": [12.373983816585485, -0.9672945980095066]}
2020-06-25 13:47:44.042 {"radius": 3, "center": [12.64690106954191, -0.993985745866621]}
2020-06-25 13:47:44.933 {"radius": 3, "center": [12.913380815493769, -1.0157645161033202]}
2020-06-25 13:47:45.844 {"radius": 3, "center": [13.176764405555247, -1.038833881700262]}
2020-06-25 13:47:46.748 {"radius": 3, "center": [13.436823090401244, -1.0579558081015121]}
2020-06-25 13:47:47.651 {"radius": 3, "center": [13.717478456797148, -1.0853633682971644]}
2020-06-25 13:47:48.547 {"radius": 3, "center": [13.982006774690689, -1.100288495486013]}
2020-06-25 13:47:49.451 {"radius": 3, "center": [14.241025404651213, -1.1142999569233143]}
2020-06-25 13:47:50.357 {"radius": 3, "center": [14.508561089577256, -1.1289161852135237]}
2020-06-25 13:47:51.261 {"radius": 3, "center": [14.771541510116416, -1.1349816160611952]}
