time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
262,0,0,0,0,0,0,R3,cs,0,0,0
263,0,0,0,0,0,0,R3,cs,0,0,0
264,0,0,0,0,0,0,R3,cs,0,0,0
265,0,0,0,0,0,0,R3,cs,0,0,0
266,0,0,0,0,0,0,R3,cs,0,0,0
267,0,0,0,0,0,0,R3,cs,0,0,0
268,0,0,0,0,0,0,R3,cs,0,0,0
269,0,0,0,0,0,0,R3,cs,0,0,0
270,0,0,0,0,0,0,R3,cs,0,0,0
271,0,0,0,0,0,0,R3,cs,0,0,0
272,0,0,0,0,0,0,R3,cs,0,0,0
273,0,0,0,0,0,0,R3,cs,0,0,0
274,0,0,0,0,0,0,R3,cs,0,0,0
275,0,0,0,0,0,0,R3,cs,0,0,0
276,0,0,0,0,0,0,R3,cs,0,0,0
277,0,0,0,0,0,0,R3,cs,0,0,0
278,0,0,0,0,0,0,R3,cs,0,0,0
279,0,0,0,0,0,0,R3,cs,0,0,0
280,0,0,0,0,0,0,R3,cs,0,0,0
281,0,0,0,0,0,0,R3,cs,0,0,0
282,0,0,0,0,0,0,R3,cs,0,0,0
283,0,0,0,0,0,0,R3,cs,0,0,0
284,0,0,0,0,0,0,R3,cs,0,0,0
285,0,0,0,0,0,0,R3,cs,0,0,0
286,0,0,0,0,0,0,R3,cs,0,0,0
287,0,0,0,0,0,0,R3,cs,0,0,0
288,0,0,0,0,0,0,R3,cs,0,0,0
289,0,0,0,0,0,0,R3,cs,0,0,0
290,0,0,0,0,0,0,R3,cs,0,0,0
291,0,0,0,0,0,0,R3,cs,0,0,0
292,0,0,0,0,0,0,R3,cs,0,0,0
293,0,0,0,0,0,0,R3,cs,0,0,0
294,0,0,0,0,0,0,R3,cs,0,0,0
295,0,0,0,0,0,0,R3,cs,0,0,0
296,0,0,0,0,0,0,R3,cs,0,0,0
297,0,0,0,0,0,0,R3,cs,0,0,0
298,0,0,0,0,0,0,R3,cs,0,0,0
299,0,0,0,0,0,0,R3,cs,0,0,0
300,0,0,0,0,0,0,R3,cs,0,0,0
301,0,0,2,0,0,0,R3,cs,0,0,9
302,0,0,2,0,0,0,R3,cs,0,0,9
303,0,0,2,0,0,0,R3,cs,0,0,9
304,0,0,2,0,0,0,R3,cs,0,0,9
305,0,0,2,0,0,0,R3,cs,0,0,9
306,0,0,2,0,0,0,R3,cs,0,0,9
307,0,0,2,0,0,0,R3,cs,0,0,9
308,0,0,2,0,0,0,R3,cs,0,0,9
309,0,0,2,0,0,0,R3,cs,0,0,9
310,0,0,2,0,0,0,R3,cs,0,0,9
311,0,0,2,0,0,0,R3,cs,0,0,9
312,0,0,2,0,0,0,R3,cs,0,0,9
313,0,0,2,0,0,0,R3,cs,0,0,9
314,0,0,2,0,0,0,R3,cs,0,0,9
315,0,0,2,0,0,0,R3,cs,0,0,9
316,0,0,2,0,0,0,R3,cs,0,0,9
317,0,0,2,0,0,0,R3,cs,0,0,9
318,0,0,2,0,0,0,R3,cs,0,0,9
319,0,0,2,0,0,0,R3,cs,0,0,9
320,0,0,2,0,0,0,R3,cs,0,0,9
321,0,0,2,0,0,0,R3,cs,0,0,9
322,0,0,2,0,0,0,R3,cs,0,0,9
323,0,0,2,0,0,0,R3,cs,0,0,9
324,0,0,2,0,0,0,R3,cs,0,0,9
325,0,0,2,0,0,0,R3,cs,0,0,9
326,0,0,2,0,0,0,R3,cs,0,0,9
327,0,0,2,0,0,0,R3,cs,0,0,9
328,0,0,2,0,0,0,R3,cs,0,0,9
329,0,0,2,0,0,0,R3,cs,0,0,9
330,0,0,2,0,0,0,R3,cs,0,0,9
331,0,0,2,0,0,0,R3,cs,0,0,9
332,0,0,2,0,0,0,R3,cs,0,0,9
333,0,0,2,0,0,0,R3,cs,0,0,9
334,0,0,2,0,0,0,R3,cs,0,0,9
335,0,0,2,0,0,0,R3,cs,0,0,9
336,0,0,2,0,0,0,R3,cs,0,0,9
337,0,0,2,0,0,0,R3,cs,0,0,9
338,0,0,2,0,0,0,R3,cs,0,0,9
339,0,0,2,0,0,0,R3,cs,0,0,9
340,0,0,2,0,0,0,R3,cs,0,0,9
341,0,0,2,0,0,0,R3,cs,0,0,9
342,0,0,2,0,0,0,R3,cs,0,0,9
343,0,0,2,0,0,0,R3,cs,0,0,9
344,0,0,2,0,0,0,R3,cs,0,0,9
345,0,0,2,0,0,0,R3,cs,0,0,9
346,0,0,2,0,0,0,R3,cs,0,0,9
347,0,0,2,0,0,0,R3,cs,0,0,9
